nohup: ignoring input
[RUN] /home/chenruiqi/anaconda2/envs/spdl/bin/python simulate_non_coop_game.py --scenario-profile legacy --mock-base-dir quality_data/non_coop_quality_scenarios/1 --participant-counts 5 --total-datasize 500000 --log-dir game_log/non_coop_batch/runs/scenario_1/participants_5
实验完成，总博弈轮次=20407，总时间=59.499607s；日志文件：game_log/non_coop_batch/runs/scenario_1/participants_10/non_coop_game_metrics_participants_10.csv、game_log/non_coop_batch/runs/scenario_1/participants_10/non_coop_game_metrics_participants_10.jsonl、game_log/non_coop_batch/runs/scenario_1/participants_10/non_coop_run_summary_participants_10.csv、game_log/non_coop_batch/runs/scenario_1/participants_10/non_coop_run_summary_participants_10.jsonl
[OK] scenario=1, participants=10, total_rounds=20407, iter_count=100, all_converged=1
[RUN] /home/chenruiqi/anaconda2/envs/spdl/bin/python simulate_non_coop_game.py --scenario-profile legacy --mock-base-dir quality_data/non_coop_quality_scenarios/1 --participant-counts 15 --total-datasize 500000 --log-dir game_log/non_coop_batch/runs/scenario_1/participants_15
[scenario=15_clients] [game_id=1] iter=1, players=15, total_datasize=500000, converged=True, rounds=49, duration=0.333572s
[scenario=15_clients] [game_id=2] iter=2, players=15, total_datasize=500000, converged=True, rounds=119, duration=0.838053s
[scenario=15_clients] [game_id=3] iter=3, players=15, total_datasize=500000, converged=True, rounds=100, duration=0.721002s
[scenario=15_clients] [game_id=4] iter=4, players=15, total_datasize=500000, converged=True, rounds=299, duration=2.046703s
[scenario=15_clients] [game_id=5] iter=5, players=15, total_datasize=500000, converged=True, rounds=680, duration=3.876343s
[scenario=15_clients] [game_id=6] iter=6, players=15, total_datasize=500000, converged=True, rounds=667, duration=4.143957s
[scenario=15_clients] [game_id=7] iter=7, players=15, total_datasize=500000, converged=True, rounds=653, duration=3.968789s
[scenario=15_clients] [game_id=8] iter=8, players=15, total_datasize=500000, converged=True, rounds=641, duration=2.821217s
[scenario=15_clients] [game_id=9] iter=9, players=15, total_datasize=500000, converged=True, rounds=631, duration=2.820160s
[scenario=15_clients] [game_id=10] iter=10, players=15, total_datasize=500000, converged=True, rounds=624, duration=3.896680s
[scenario=15_clients] [game_id=11] iter=11, players=15, total_datasize=500000, converged=True, rounds=612, duration=2.702725s
[scenario=15_clients] [game_id=12] iter=12, players=15, total_datasize=500000, converged=True, rounds=604, duration=2.714868s
[scenario=15_clients] [game_id=13] iter=13, players=15, total_datasize=500000, converged=True, rounds=598, duration=2.715568s
[scenario=15_clients] [game_id=14] iter=14, players=15, total_datasize=500000, converged=True, rounds=593, duration=2.642460s
[scenario=15_clients] [game_id=15] iter=15, players=15, total_datasize=500000, converged=True, rounds=587, duration=2.570162s
[scenario=15_clients] [game_id=16] iter=16, players=15, total_datasize=500000, converged=True, rounds=619, duration=2.680809s
[scenario=15_clients] [game_id=17] iter=17, players=15, total_datasize=500000, converged=True, rounds=696, duration=3.066087s
[scenario=15_clients] [game_id=18] iter=18, players=15, total_datasize=500000, converged=True, rounds=717, duration=3.181846s
[scenario=15_clients] [game_id=19] iter=19, players=15, total_datasize=500000, converged=True, rounds=665, duration=2.855850s
[scenario=15_clients] [game_id=20] iter=20, players=15, total_datasize=500000, converged=True, rounds=556, duration=2.401305s
[scenario=15_clients] [game_id=21] iter=21, players=15, total_datasize=500000, converged=True, rounds=751, duration=4.518874s
[scenario=15_clients] [game_id=22] iter=22, players=15, total_datasize=500000, converged=True, rounds=1508, duration=6.476217s
[scenario=15_clients] [game_id=23] iter=23, players=15, total_datasize=500000, converged=True, rounds=1465, duration=7.906139s
[scenario=15_clients] [game_id=24] iter=24, players=15, total_datasize=500000, converged=True, rounds=1434, duration=7.402091s
[scenario=15_clients] [game_id=25] iter=25, players=15, total_datasize=500000, converged=True, rounds=1396, duration=8.403392s
[scenario=15_clients] [game_id=26] iter=26, players=15, total_datasize=500000, converged=True, rounds=1365, duration=7.163664s
[scenario=15_clients] [game_id=27] iter=27, players=15, total_datasize=500000, converged=True, rounds=1338, duration=5.676568s
[scenario=15_clients] [game_id=28] iter=28, players=15, total_datasize=500000, converged=True, rounds=1311, duration=5.661393s
[scenario=15_clients] [game_id=29] iter=29, players=15, total_datasize=500000, converged=True, rounds=1287, duration=5.494618s
[scenario=15_clients] [game_id=30] iter=30, players=15, total_datasize=500000, converged=True, rounds=1271, duration=5.469953s
